Gene_id	Ascl1_2h_2	Ascl1_2h_3	Ascl1_4h_1	Ascl1_4h_2	Ascl1_4h_3	Ascl1_6h_2	Ascl1_6h_3	Empty_2h_1	Empty_2h_2	Empty_2h_3	Empty_4h_1	Empty_4h_2	Empty_4h_3	Empty_6h_2	Empty_6h_3
1700006F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006J14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007K13Rik	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0
1700007M16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007P06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008A23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008B11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008C04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008N11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008O03Rik	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
1700008P02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009J07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010B08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010B13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010G06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010I14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010J16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010K23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010L04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010N08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011B04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011C11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011D18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011L22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011M02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012B07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012B09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012C14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012E03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012I11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012J15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012J22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012P22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013G24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013N06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700014B07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700014D04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700015G11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700015H07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016B01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016C15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016D06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016F12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016H13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700016J18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016K05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016K19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016L21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016P03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016P04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017B05Rik	10	0	0	0	0	0	0	0	0	24	4	17	15	11	1
1700017I07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017J07Rik	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1700017L05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018A14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018A23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018B08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018L02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018M17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018P08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019A02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019A23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019D03Rik	2	0	0	0	0	0	0	2	0	6	10	19	14	18	0
1700019E08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019F05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019J19Rik	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
1700019L13Rik	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
1700019N19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020A23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020G03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020L13Rik	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0
1700020L24Rik	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
1700020N01Rik	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1700020N15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700021A07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700021F02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700021F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700021G15Rik	0	1	0	0	0	0	0	0	2	1	1	0	0	0	0
1700021P04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022I11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022N22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700023C21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700023G09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024B05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024B18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024G13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025B11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025D23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025F24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025G04Rik	0	0	0	0	0	0	0	0	0	9	1	1	1	1	0
1700025H01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025J12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025K04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700026D11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700026N04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700027A15Rik	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
1700027J07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028B04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028D13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028E10Rik	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1700028I16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028J19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028K03Rik	1	0	0	0	0	0	0	0	0	3	0	0	1	1	0
1700028P14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029B24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029E06Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1700029F12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029H14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029I15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029J07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029M03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029M20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700029N11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030A11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030C12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030I03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030J22Rik	0	0	0	0	0	0	0	0	0	0	4	3	0	0	2
1700030K09Rik	6	0	0	0	0	0	0	0	0	0	4	15	10	4	0
1700030M09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700031A10Rik	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1700031F05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700031L13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034B16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034I23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034J05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034P13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700036A12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700036G14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700036O09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700037C18Rik	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
1700037H04Rik	3	0	0	0	1	0	0	0	0	0	2	9	0	2	0
1700039M10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700039M15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700040E09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700040F15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700040K01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700041B01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700041C23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700041G16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700041I07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700041M05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700042O05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700042O10Rik	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0
1700044C05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700044K03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700045I11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047A11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047G03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047G07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047K16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047L14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047M11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047O18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700048F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700048O20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700049E15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700049E17Rik1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700049E17Rik2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700049E22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700051A21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700051O22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700052H01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700054A03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700054K19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700054M17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700055D18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700056E22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700056N10Rik	0	0	0	0	0	0	0	0	0	4	2	0	0	4	0
1700057G04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700058P15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700060C20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700061E17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700061E18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700061F12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700061J23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700063D05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700063H04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700063H06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700064H15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700064J06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700065I16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700065J11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700065J18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700066B19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700066C05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700066J03Rik	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700066M21Rik	1	0	0	0	0	0	0	2	0	0	0	6	0	6	0
1700067G17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700067K01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700067P10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700069B07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700069L16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700071G01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700072B07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700072O05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700073E17Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1700074H08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700080C20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700081B01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700081H04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700081N11Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1700082M22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700084C06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700084D21Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1700084M14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700085D07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700086D15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700086L19Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1700087I21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700088E04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700092C02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700092C17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700092E16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700092K14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700092M07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700093J21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700093K21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700094D03Rik	0	0	0	0	0	0	0	0	0	1	2	7	1	3	1
1700094J05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700094M24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700095B10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700095J03Rik	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1700095J07Rik	1	0	0	0	0	0	0	0	4	15	1	3	7	3	0
1700095K22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700096J18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700096K18Rik	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
1700099I09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700100L14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700102F20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700102H20Rik	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
1700102P08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700104L18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700105G05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700105P06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700106O07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700108F19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700108N11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700109H08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
1700109I08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700109K24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700110C19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700110I01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700110K17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700111E14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700112L15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700112M02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700113B09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700113B19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700113H08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700116B05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700119I11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700120C14Rik	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0
1700121L16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700122C19Rik	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1700122E12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700122H20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700122O11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
